ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Chiang Rai,เมืองเชียงราย,TH5701,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Wiang Chai,เวียงชัย,TH5702,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Chiang Khong,เชียงของ,TH5703,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Thoeng,เทิง,TH5704,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Phan,พาน,TH5705,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Pa Daet,ป่าแดด,TH5706,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Mae Chan,แม่จัน,TH5707,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Chiang Saen,เชียงแสน,TH5708,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Mae Sai,แม่สาย,TH5709,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Mae Suai,แม่สรวย,TH5710,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Wiang Pa Pao,เวียงป่าเป้า,TH5711,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Phaya Mengrai,พญาเม็งราย,TH5712,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Wiang Kaen,เวียงแก่น,TH5713,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Khun Tan,ขุนตาล,TH5714,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Mae Fa Luang,แม่ฟ้าหลวง,TH5715,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Mae Lao,แม่ลาว,TH5716,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Wiang Chiang Rung,เวียงเชียงรุ้ง,TH5717,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
Doi Luang,ดอยหลวง,TH5718,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH
