ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Na Duang,นาด้วง,TH4202,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Chiang Khan,เชียงคาน,TH4203,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Pak Chom,ปากชม,TH4204,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Dan Sai,ด่านซ้าย,TH4205,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Na Haeo,นาแห้ว,TH4206,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Phu Ruea,ภูเรือ,TH4207,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Tha Li,ท่าลี่,TH4208,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Wang Saphung,วังสะพุง,TH4209,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Phu Kradueng,ภูกระดึง,TH4210,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Phu Luang,ภูหลวง,TH4211,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Pha Khao,ผาขาว,TH4212,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Erawan,เอราวัณ,TH4213,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Nong Hin,หนองหิน,TH4214,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
