ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Nakhon Phanom,เมืองนครพนม,TH4801,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
Pla Pak,ปลาปาก,TH4802,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
Tha Uthen,ท่าอุเทน,TH4803,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
Ban Phaeng,บ้านแพง,TH4804,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
That Phanom,ธาตุพนม,TH4805,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
Renu Nakhon,เรณูนคร,TH4806,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
Na Kae,นาแก,TH4807,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
Si Songkhram,ศรีสงคราม,TH4808,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
Na Wa,นาหว้า,TH4809,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
Phon Sawan,โพนสวรรค์,TH4810,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
Na Thom,นาทม,TH4811,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
Wang Yang,วังยาง,TH4812,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH
