ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Nan,เมืองน่าน,TH5501,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Mae Charim,แม่จริม,TH5502,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Ban Luang,บ้านหลวง,TH5503,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Na Noi,นาน้อย,TH5504,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Pua,ปัว,TH5505,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Tha Wang Pha,ท่าวังผา,TH5506,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Wiang Sa,เวียงสา,TH5507,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Thung Chang,ทุ่งช้าง,TH5508,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Chiang Klang,เชียงกลาง,TH5509,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Na Muen,นาหมื่น,TH5510,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Santi Suk,สันติสุข,TH5511,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Bo Kluea,บ่อเกลือ,TH5512,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Song Khwae,สองแคว,TH5513,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Phu Phiang,ภูเพียง,TH5514,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH5515,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH
