ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Narathiwat,เมืองนราธิวาส,TH9601,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Tak Bai,ตากใบ,TH9602,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Bacho,บาเจาะ,TH9603,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Yi-Ngo,ยี่งอ,TH9604,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Ra-Ngae,ระแงะ,TH9605,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Rueso,รือเสาะ,TH9606,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Si Sakhon,ศรีสาคร,TH9607,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Waeng,แว้ง,TH9608,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Sukhirin,สุคิริน,TH9609,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Su-Ngai Kolok,สุไหงโก-ลก,TH9610,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Su-Ngai Padi,สุไหงปาดี,TH9611,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Chanae,จะแนะ,TH9612,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
Cho-Airong,เจาะไอร้อง,TH9613,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH
