ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Yang Chum Noi,ยางชุมน้อย,TH3302,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Phrai Bueng,ไพรบึง,TH3306,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Prang Ku,ปรางค์กู่,TH3307,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Khun Han,ขุนหาญ,TH3308,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Rasi Salai,ราษีไศล,TH3309,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Uthumphon Phisai,อุทุมพรพิสัย,TH3310,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Bueng Bun,บึงบูรพ์,TH3311,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Huai Thap Than,ห้วยทับทัน,TH3312,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Non Khun,โนนคูณ,TH3313,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Si Rattana,ศรีรัตนะ,TH3314,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Nam Kliang,น้ำเกลี้ยง,TH3315,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Wang Hin,วังหิน,TH3316,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Phu Sing,ภูสิงห์,TH3317,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Mueang Chan,เมืองจันทร์,TH3318,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Benchalak,เบญจลักษ์,TH3319,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Phayu,พยุห์,TH3320,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Pho Si Suwan,โพธิ์ศรีสุวรรณ,TH3321,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Sila Lat,ศิลาลาด,TH3322,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
