ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Songkhla,เมืองสงขลา,TH9001,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Sathing Phra,สทิงพระ,TH9002,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Chana,จะนะ,TH9003,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Na Thawi,นาทวี,TH9004,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Thepha,เทพา,TH9005,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Saba Yoi,สะบ้าย้อย,TH9006,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Ranot,ระโนด,TH9007,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Krasae Sin,กระแสสินธุ์,TH9008,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Rattaphum,รัตภูมิ,TH9009,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Sadao,สะเดา,TH9010,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Hat Yai,หาดใหญ่,TH9011,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Na Mom,นาหม่อม,TH9012,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Khuan Niang,ควนเนียง,TH9013,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Bang Klam,บางกล่ำ,TH9014,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Singhanakhon,สิงหนคร,TH9015,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
Khlong Hoi Khong,คลองหอยโข่ง,TH9016,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH
