ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Surat Thani,เมืองสุราษฎร์ธาน,TH8401,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Kanchanadit,กาญจนดิษฐ์,TH8402,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Don Sak,ดอนสัก,TH8403,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Ko Samui,เกาะสมุย,TH8404,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Ko Pha-Ngan,เกาะพะงัน,TH8405,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Chaiya,ไชยา,TH8406,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Tha Chana,ท่าชนะ,TH8407,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Khiri Rat Nikhom,คีรีรัฐนิคม,TH8408,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Ban Ta Khun,บ้านตาขุน,TH8409,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Phanom,พนม,TH8410,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Tha Chang,ท่าฉาง,TH8411,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Ban Na San,บ้านนาสาร,TH8412,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Ban Na Doem,บ้านนาเดิม,TH8413,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Khian Sa,เคียนซา,TH8414,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Wiang Sa,เวียงสระ,TH8415,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Phrasaeng,พระแสง,TH8416,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Phunphin,พุนพิน,TH8417,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Chai Buri,ชัยบุรี,TH8418,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
Vibhavadi,วิภาวดี,TH8419,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH
