AREA_BMA,PERIMETER,ADMIN_ID,SUBDISTRIC,SUBDISTR_1,DISTRICT_I,DISTRICT_N,CHANGWAT_I
16.461,21537.211388,2,100608,หัวหมาก,1006,บางกะปิ,10
12.062,18260.517332,3,100601,คลองจั่น,1006,บางกะปิ,10
14.15,17831.1922037,2,104003,บางไผ่,1040,บางแค,10
18.406,19142.466103,2,100502,อนุสาวรีย์,1005,บางเขน,10
23.717,24066.1641178,3,100508,ท่าแร้ง,1005,บางเขน,10
2.3,5310.04666264,3,103102,วัดพระยาไกร,1031,บางคอแหลม,10
5.872,9600.30800774,4,103103,บางโคล่,1031,บางคอแหลม,10
0.689,3475.7653584,2,100404,บางรัก,1004,บางรัก,10
2.074,7031.36193419,3,100402,สีลม,1004,บางรัก,10
0.889,3972.41262906,4,100401,มหาพฤฒาราม,1004,บางรัก,10
1.064,4574.09561884,5,100405,สี่พระยา,1004,บางรัก,10
0.82,5024.57105125,6,100403,สุริยวงศ์,1004,บางรัก,10
2.076,6827.4248126,4,102005,บ้านช่างหล่,1020,บางกอกน้อย,10
1.258,6717.12540904,5,102004,ศิริราช,1020,บางกอกน้อย,10
0.834,3986.446099,2,101601,วัดอรุณ,1016,บางกอกใหญ่,10
0.834,9389.22080575,3,101602,วัดท่าพระ,1016,บางกอกใหญ่,10
3.296,10523.0045929,2,102501,บางพลัด,1025,บางพลัด,10
2.332,6929.38645251,3,102503,บางบำหรุ,1025,บางพลัด,10
2.886,6914.36125184,4,102504,บางยี่ขัน,1025,บางพลัด,10
8.354,14390.7218431,1,102601,ดินแดง,1026,ดินแดง,10
1.074,4681.21361456,2,100202,วชิรพยาบาล,1002,ดุสิต,10
2.233,6503.9486022,3,100201,ดุสิต,1002,ดุสิต,10
5.282,10209.0527249,4,100206,ถนนนครไชยศร,1002,ดุสิต,10
5.408,11937.660033,2,101702,บางกะปิ,1017,ห้วยขวาง,10
5.342,11797.6409633,3,101701,ห้วยขวาง,1017,ห้วยขวาง,10
4.283,12834.1007369,4,101704,สามเสนนอก,1017,ห้วยขวาง,10
15.823,19863.563297,4,104605,ทรายกองดินใ,1046,คลองสามวา,10
1.773,6059.31153179,2,101804,คลองต้นไทร,1018,คลองสาน,10
0.727,5663.95234298,3,101802,คลองสาน,1018,คลองสาน,10
2.234,6024.64363753,4,101803,บางลำภูล่าง,1018,คลองสาน,10
1.317,4128.80512596,5,101801,สมเด็จเจ้าพ,1018,คลองสาน,10
7.249,15592.6507958,2,103301,คลองเตย,1033,คลองเตย,10
1.895,6220.87302802,3,103302,คลองตัน,1033,คลองเตย,10
3.85,10388.6297458,4,103303,พระโขนง,1033,คลองเตย,10
5.955,12446.2140803,3,104102,ตลาดบางเขน,1041,หลักสี่,10
14.297,17419.7422287,2,101102,คลองสองต้นน,1011,ลาดกระบัง,10
17.458,18698.5834778,3,101103,คลองสามประเ,1011,ลาดกระบัง,10
33.752,29969.9777267,5,101104,ลำปลาทิว,1011,ลาดกระบัง,10
7.055,12393.0135015,2,103802,จรเข้บัว,1038,ลาดพร้าว,10
28.459,27115.4278542,2,101001,มีนบุรี,1010,มีนบุรี,10
35.186,29803.6728405,3,101002,แสนแสบ,1010,มีนบุรี,10
29.992,27068.9262065,2,100302,หนองจอก,1003,หนองจอก,10
17.75,18696.5433333,4,100306,คู้ฝั่งเหนื,1003,หนองจอก,10
33.358,28352.2733442,6,100307,ลำผักชี,1003,หนองจอก,10
24.789,30593.6072988,7,100308,ลำต้อยติ่ง,1003,หนองจอก,10
38.132,28785.5229645,8,100301,กระทุ่มราย,1003,หนองจอก,10
1.3,4845.67689835,2,100701,รองเมือง,1007,ปทุมวัน,10
1.403,5033.99712138,3,100702,วังใหม่,1007,ปทุมวัน,10
2.181,6117.88075812,4,100703,ปทุมวัน,1007,ปทุมวัน,10
3.485,8062.63476345,5,100704,ลุมพินี,1007,ปทุมวัน,10
9.595,12016.9647947,1,101406,พญาไท,1014,พญาไท,10
2.992,7633.9053839,2,102208,คลองขวาง,1022,ภาษีเจริญ,10
2.514,8119.11285336,3,102202,บางด้วน,1022,ภาษีเจริญ,10
3.022,8380.33729674,5,102207,บางแวก,1022,ภาษีเจริญ,10
1.394,5300.53964476,6,102206,บางจาก,1022,ภาษีเจริญ,10
1.898,6666.60935548,8,102209,ปากคลองภาษี,1022,ภาษีเจริญ,10
13.986,16990.6112492,1,100905,บางจาก,1009,พระโขนง,10
0.251,3035.13697817,2,100804,บ้านบาตร,1008,ป้อมปราบศัต,10
0.535,3601.48716875,3,100801,ป้อมปราบศัต,1008,ป้อมปราบศัต,10
0.35,3091.89166734,4,100805,วัดโสมนัส,1008,ป้อมปราบศัต,10
0.347,2846.74120883,5,100802,วัดเทพศิริน,1008,ป้อมปราบศัต,10
0.448,3057.48647891,6,100803,คลองมหานาค,1008,ป้อมปราบศัต,10
14.513,15235.5274737,2,103202,หนองบอน,1032,ประเวศ,10
22.805,22844.7705199,3,103201,ประเวศ,1032,ประเวศ,10
15.172,17770.3052603,4,103203,ดอกไม้,1032,ประเวศ,10
6.716,11274.6259969,3,102401,ราษฎร์บูรณะ,1024,ราษฎร์บูรณะ,10
1.148,5401.42119939,2,103703,ถนนเพชรบุรี,1037,ราชเทวี,10
2.559,6461.76935735,3,103701,ทุ่งพญาไท,1037,ราชเทวี,10
1.136,4800.96083644,4,103702,ถนนพญาไท,1037,ราชเทวี,10
2.283,7535.3409083,5,103704,มักกะสัน,1037,ราชเทวี,10
2.09,6928.15033249,2,102802,ยานนาวา,1028,สาทร,10
3.195,7320.28933617,3,102801,ทุ่งวัดดอน,1028,สาทร,10
4.041,8436.36485803,4,102803,ทุ่งมหาเมฆ,1028,สาทร,10
12.44,15981.9812142,2,104203,คลองถนน,1042,สายไหม,10
13.516,17683.3571079,4,104202,ออเงิน,1042,สายไหม,10
0.449,3272.59649985,2,101303,ตลาดน้อย,1013,สัมพันธวงศ์,10
28.124,25314.7664144,1,104402,ราษฎร์พัฒนา,1044,สะพานสูง,10
2.915,13263.2276178,2,101907,บางเชือกหนั,1019,ตลิ่งชัน,10
4.253,14267.0106177,3,101904,บางพรม,1019,ตลิ่งชัน,10
8.539,14578.1341085,4,101905,บางระมาด,1019,ตลิ่งชัน,10
7.338,13663.9374946,5,101903,ฉิมพลี,1019,ตลิ่งชัน,10
5.183,11886.6992608,6,101902,ตลิ่งชัน,1019,ตลิ่งชัน,10
1.823,4880.71250867,2,101505,ตลาดพลู,1015,ธนบุรี,10
0.785,3527.31700557,4,101501,วัดกัลยาณ์,1015,ธนบุรี,10
0.691,3317.00724154,5,101502,หิรัญรูจี,1015,ธนบุรี,10
7.249,6670.77372145,2,103901,คลองเตยเหนื,1039,วัฒนา,10
1.895,13632.1039123,3,103902,คลองตันเหนื,1039,วัฒนา,10
3.85,9411.99173074,4,103903,พระโขนงเหนื,1039,วัฒนา,10
1.647,5271.15949215,2,100101,พระบรมมหารา,1001,พระนคร,10
0.339,2445.04605384,3,100109,ชนะสงคราม,1001,พระนคร,10
0.72,3626.14516791,4,100102,วังบูรพาภิร,1001,พระนคร,10
0.193,1978.10632467,5,100108,ตลาดยอด,1001,พระนคร,10
0.522,3024.49340035,6,100112,วัดสามพระยา,1001,พระนคร,10
0.496,3407.39007877,7,100107,วัดบวรนิเวศ,1001,พระนคร,10
0.144,1677.9408699,8,100105,ศาลเจ้าพ่อเ,1001,พระนคร,10
0.22,1885.14222827,9,100103,วัดราชบพิธ,1001,พระนคร,10
0.153,1588.18798658,10,100106,เสาชิงช้า,1001,พระนคร,10
0.414,3192.58751902,11,100110,บ้านพานถม,1001,พระนคร,10
0.458,2880.2403854,12,100111,บางขุนพรหม,1001,พระนคร,10
0.23,2083.54685333,13,100104,สำราญราษฎร์,1001,พระนคร,10
5.789,10574.4445462,2,103501,บางขุนเทียน,1035,จอมทอง,10
3.375,9727.97061782,4,103502,บางค้อ,1035,จอมทอง,10
6.678,10274.3717441,2,101204,บางโพงพาง,1012,ยานนาวา,10
9.984,13565.4821029,3,101203,ช่องนนทรี,1012,ยานนาวา,10
12.765,17343.1938992,2,104901,บางมด,1049,ทุ่งครุ,10
17.976,22920.1295386,3,104902,ทุ่งครุ,1049,ทุ่งครุ,10
