ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Chaiyaphum,เมืองชัยภูมิ,TH3601,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Ban Khwao,บ้านเขว้า,TH3602,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Khon Sawan,คอนสวรรค์,TH3603,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Kaset Sombun,เกษตรสมบูรณ์,TH3604,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Nong Bua Daeng,หนองบัวแดง,TH3605,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Chatturat,จัตุรัส,TH3606,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Bamnet Narong,บำเหน็จณรงค์,TH3607,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Nong Bua Rawe,หนองบัวระเหว,TH3608,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Thep Sathit,เทพสถิต,TH3609,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Phu Khiao,ภูเขียว,TH3610,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Ban Thaen,บ้านแท่น,TH3611,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Kaeng Khro,แก้งคร้อ,TH3612,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Khon San,คอนสาร,TH3613,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Phakdi Chumphon,ภักดีชุมพล,TH3614,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Noen Sa-Nga,เนินสง่า,TH3615,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
Sap Yai,ซับใหญ่,TH3616,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH
