ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Kae Dam,แกดำ,TH4402,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Kosum Phisai,โกสุมพิสัย,TH4403,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Kantharawichai,กันทรวิชัย,TH4404,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Chiang Yuen,เชียงยืน,TH4405,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Borabue,บรบือ,TH4406,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Na Chueak,นาเชือก,TH4407,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Phayakkhaphum Phisai,พยัคฆภูมิพิสัย,TH4408,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Wapi Pathum,วาปีปทุม,TH4409,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Na Dun,นาดูน,TH4410,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Yang Sisurat,ยางสีสุราช,TH4411,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Kut Rang,กุดรัง,TH4412,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Chuen Chom,ชื่นชม,TH4413,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
