ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Udon Thani,เมืองอุดรธานี,TH4101,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Kut Chap,กุดจับ,TH4102,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Nong Wua So,หนองวัวซอ,TH4103,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Kumphawapi,กุมภวาปี,TH4104,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Non Sa-At,โนนสะอาด,TH4105,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Thung Fon,ทุ่งฝน,TH4107,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Chai Wan,ไชยวาน,TH4108,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Si That,ศรีธาตุ,TH4109,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Wang Sam Mo,วังสามหมอ,TH4110,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Ban Dung,บ้านดุง,TH4111,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Ban Phue,บ้านผือ,TH4117,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Nam Som,น้ำโสม,TH4118,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Phen,เพ็ญ,TH4119,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Sang Khom,สร้างคอม,TH4120,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Nong Saeng,หนองแสง,TH4121,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Na Yung,นายูง,TH4122,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Phibun Rak,พิบูลย์รักษ์,TH4123,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Ku Kaeo,กู่แก้ว,TH4124,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
Prachaksinlapakhom,ประจักษ์ศิลปาคม,TH4125,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH
