Shape_Leng,Shape_Area,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM1ALT1TH,ADM1ALT2TH,ADM0_EN,ADM0_TH,ADM0_PCODE,date,validOn,validTo
2.41722731809,0.131338727849,Bangkok,กรุงเทพมหานคร,TH10,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
1.69509968957,0.0792619888766,Samut Prakan,สมุทรปราการ,TH11,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
1.25111117749,0.0532376597241,Nonthaburi,นนทบุรี,TH12,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
1.884945029,0.126983449353,Pathum Thani,ปทุมธานี,TH13,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
3.04171647956,0.213937972626,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
1.73990804384,0.0792096139694,Ang Thong,อ่างทอง,TH15,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.69334215401,0.545788378178,Lop Buri,ลพบุรี,TH16,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
1.77832626165,0.0687265498424,Sing Buri,สิงห์บุรี,TH17,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
2.89631579517,0.209078277584,Chai Nat,ชัยนาท,TH18,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
4.76644577011,0.292087111902,Saraburi,สระบุรี,TH19,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.09178563613,0.375630084928,Chon Buri,ชลบุรี,TH20,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
3.89522836867,0.306627006044,Rayong,ระยอง,TH21,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.13027295375,0.533316435481,Chanthaburi,จันทบุรี,TH22,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
7.42944437189,0.238462528037,Trat,ตราด,TH23,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
4.94145277051,0.431484009764,Chachoengsao,ฉะเชิงเทรา,TH24,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
