ADM1_EN,ADM1_TH,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION9,DESTINATIO,REGION6
Bangkok,กรุงเทพมหานคร,Thailand,ประเทศไทย,TH,ภาคกลาง,เมืองหลัก,ภาคกลาง
Samut Prakan,สมุทรปราการ,Thailand,ประเทศไทย,TH,ภาคกลาง,เมืองหลัก,ภาคกลาง
Nonthaburi,นนทบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,เมืองหลัก,ภาคกลาง
Pathum Thani,ปทุมธานี,Thailand,ประเทศไทย,TH,ภาคกลาง,เมืองหลัก,ภาคกลาง
Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Thailand,ประเทศไทย,TH,ภาคกลาง,เมืองหลัก,ภาคกลาง
Ang Thong,อ่างทอง,Thailand,ประเทศไทย,TH,ภาคกลาง,เมืองรอง,ภาคกลาง
Lop Buri,ลพบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,เมืองรอง,ภาคกลาง
Sing Buri,สิงห์บุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,เมืองรอง,ภาคกลาง
Chai Nat,ชัยนาท,Thailand,ประเทศไทย,TH,ภาคกลาง,เมืองรอง,ภาคกลาง
Saraburi,สระบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,เมืองหลัก,ภาคกลาง
Chon Buri,ชลบุรี,Thailand,ประเทศไทย,TH,ภาคตะวันออก,เมืองหลัก,ภาคตะวันออก
Rayong,ระยอง,Thailand,ประเทศไทย,TH,ภาคตะวันออก,เมืองหลัก,ภาคตะวันออก
Chanthaburi,จันทบุรี,Thailand,ประเทศไทย,TH,ภาคตะวันออก,เมืองรอง,ภาคตะวันออก
Trat,ตราด,Thailand,ประเทศไทย,TH,ภาคตะวันออก,เมืองรอง,ภาคตะวันออก
Chachoengsao,ฉะเชิงเทรา,Thailand,ประเทศไทย,TH,ภาคตะวันออก,เมืองหลัก,ภาคตะวันออก
Prachin Buri,ปราจีนบุรี,Thailand,ประเทศไทย,TH,ภาคตะวันออก,เมืองรอง,ภาคตะวันออก
Nakhon Nayok,นครนายก,Thailand,ประเทศไทย,TH,ภาคตะวันออก,เมืองรอง,ภาคกลาง
Sa Kaeo,สระแก้ว,Thailand,ประเทศไทย,TH,ภาคตะวันออก,เมืองรอง,ภาคตะวันออก
Nakhon Ratchasima,นครราชสีมา,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองหลัก,ภาคตะวันออกเฉียงเหนือ
Buri Ram,บุรีรัมย์,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง,ภาคตะวันออกเฉียงเหนือ
Surin,สุรินทร์,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง,ภาคตะวันออกเฉียงเหนือ
Si Sa Ket,ศรีสะเกษ,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง,ภาคตะวันออกเฉียงเหนือ
Ubon Ratchathani,อุบลราชธานี,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง,ภาคตะวันออกเฉียงเหนือ
Yasothon,ยโสธร,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง,ภาคตะวันออกเฉียงเหนือ
Chaiyaphum,ชัยภูมิ,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง,ภาคตะวันออกเฉียงเหนือ
Amnat Charoen,อำนาจเจริญ,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง,ภาคตะวันออกเฉียงเหนือ
Bueng Kan,บึงกาฬ,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง,ภาคตะวันออกเฉียงเหนือ
Nong Bua Lam Phu,หนองบัวลำภู,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง,ภาคตะวันออกเฉียงเหนือ
