ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION9,REGION6,DESTINATION
Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Soeng Sang,เสิงสาง,TH3003,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Ban Lueam,บ้านเหลื่อม,TH3005,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Chakkarat,จักราช,TH3006,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Kham Sakaesaeng,ขามสะแกแสง,TH3011,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Prathai,ประทาย,TH3013,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Pak Thong Chai,ปักธงชัย,TH3014,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Phimai,พิมาย,TH3015,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Huai Thalaeng,ห้วยแถลง,TH3016,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Chum Phuang,ชุมพวง,TH3017,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Sung Noen,สูงเนิน,TH3018,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Kham Thale So,ขามทะเลสอ,TH3019,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Sikhio,สีคิ้ว,TH3020,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Pak Chong,ปากช่อง,TH3021,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Nong Bun Mak,หนองบุญมาก,TH3022,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Kaeng Sanam Nang,แก้งสนามนาง,TH3023,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Non Daeng,โนนแดง,TH3024,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Wang Nam Khiao,วังน้ำเขียว,TH3025,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Thepharak,เทพารักษ์,TH3026,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Mueang Yang,เมืองยาง,TH3027,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Phra Thong Kham,พระทองคำ,TH3028,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Lam Thamenchai,ลำทะเมนชัย,TH3029,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Bua Lai,บัวลาย,TH3030,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Sida,สีดา,TH3031,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH3032,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองรอง
Khu Mueang,คูเมือง,TH3102,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองรอง
Krasang,กระสัง,TH3103,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองรอง
Nang Rong,นางรอง,TH3104,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองรอง
Nong Ki,หนองกี่,TH3105,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองรอง
Lahan Sai,ละหานทราย,TH3106,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองรอง
Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองรอง
Ban Kruat,บ้านกรวด,TH3108,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองรอง
Phutthaisong,พุทไธสง,TH3109,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือตอนล่าง,ภาคตะวันออกเฉียงเหนือ,เมืองรอง
