ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION9,REGION6,DESTINATION
Mueang Tak,เมืองตาก,TH6301,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคตะวันตก,เมืองรอง
Ban Tak,บ้านตาก,TH6302,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคตะวันตก,เมืองรอง
Sam Ngao,สามเงา,TH6303,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคตะวันตก,เมืองรอง
Mae Ramat,แม่ระมาด,TH6304,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคตะวันตก,เมืองรอง
Tha Song Yang,ท่าสองยาง,TH6305,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคตะวันตก,เมืองรอง
Mae Sot,แม่สอด,TH6306,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคตะวันตก,เมืองรอง
Phop Phra,พบพระ,TH6307,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคตะวันตก,เมืองรอง
Umphang,อุ้มผาง,TH6308,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคตะวันตก,เมืองรอง
Wang Chao,วังเจ้า,TH6309,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคตะวันตก,เมืองรอง
Mueang Ratchaburi,เมืองราชบุรี,TH7001,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองรอง
Chom Bueng,จอมบึง,TH7002,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองรอง
Suan Phueng,สวนผึ้ง,TH7003,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองรอง
Damnoen Saduak,ดำเนินสะดวก,TH7004,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองรอง
Ban Pong,บ้านโป่ง,TH7005,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองรอง
Bang Phae,บางแพ,TH7006,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองรอง
Photharam,โพธาราม,TH7007,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองรอง
Pak Tho,ปากท่อ,TH7008,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองรอง
Wat Phleng,วัดเพลง,TH7009,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองรอง
Ban Kha,บ้านคา,TH7010,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองรอง
Mueang Kanchanaburi,เมืองกาญจนบุรี,TH7101,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Sai Yok,ไทรโยค,TH7102,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Bo Phloi,บ่อพลอย,TH7103,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Si Sawat,ศรีสวัสดิ์,TH7104,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Tha Maka,ท่ามะกา,TH7105,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Tha Muang,ท่าม่วง,TH7106,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Thong Pha Phum,ทองผาภูมิ,TH7107,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Sangkhla Buri,สังขละบุรี,TH7108,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Phanom Thuan,พนมทวน,TH7109,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Lao Khwan,เลาขวัญ,TH7110,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Dan Makham Tia,ด่านมะขามเตี้ย,TH7111,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Nong Prue,หนองปรือ,TH7112,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Huai Krachao,ห้วยกระเจา,TH7113,Kanchanaburi,กาญจนบุรี,TH71,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Mueang Phetchaburi,เมืองเพชรบุรี,TH7601,Phetchaburi,เพชรบุรี,TH76,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Khao Yoi,เขาย้อย,TH7602,Phetchaburi,เพชรบุรี,TH76,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Nong Ya Plong,หนองหญ้าปล้อง,TH7603,Phetchaburi,เพชรบุรี,TH76,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Cha-Am,ชะอำ,TH7604,Phetchaburi,เพชรบุรี,TH76,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Tha Yang,ท่ายาง,TH7605,Phetchaburi,เพชรบุรี,TH76,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Ban Lat,บ้านลาด,TH7606,Phetchaburi,เพชรบุรี,TH76,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Ban Laem,บ้านแหลม,TH7607,Phetchaburi,เพชรบุรี,TH76,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Kaeng Krachan,แก่งกระจาน,TH7608,Phetchaburi,เพชรบุรี,TH76,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Mueang Prachuap Khiri Khan,เมืองประจวบคีรีข,TH7701,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Kui Buri,กุยบุรี,TH7702,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Thap Sakae,ทับสะแก,TH7703,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Bang Saphan,บางสะพาน,TH7704,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Bang Saphan Noi,บางสะพานน้อย,TH7705,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Pran Buri,ปราณบุรี,TH7706,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Hua Hin,หัวหิน,TH7707,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Sam Roi Yot,สามร้อยยอด,TH7708,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Thailand,ประเทศไทย,TH,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
