ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION9,REGION6,DESTINATION
Mueang Nakhon Sawan,เมืองนครสวรรค์,TH6001,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Krok Phra,โกรกพระ,TH6002,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Chum Saeng,ชุมแสง,TH6003,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Nong Bua,หนองบัว,TH6004,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Banphot Phisai,บรรพตพิสัย,TH6005,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Kao Liao,เก้าเลี้ยว,TH6006,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Takhli,ตาคลี,TH6007,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Tha Tako,ท่าตะโก,TH6008,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Phaisali,ไพศาลี,TH6009,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Phayuha Khiri,พยุหะคีรี,TH6010,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Lat Yao,ลาดยาว,TH6011,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Tak Fa,ตากฟ้า,TH6012,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Mae Wong,แม่วงก์,TH6013,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Mae Poen,แม่เปิน,TH6014,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Chum Ta Bong,ชุมตาบง,TH6015,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Mueang Uthai Thani,เมืองอุทัยธานี,TH6101,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Thap Than,ทัพทัน,TH6102,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Sawang Arom,สว่างอารมณ์,TH6103,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Nong Chang,หนองฉาง,TH6104,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Nong Khayang,หนองขาหย่าง,TH6105,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Ban Rai,บ้านไร่,TH6106,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Lan Sak,ลานสัก,TH6107,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Huai Khot,ห้วยคต,TH6108,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Mueang Kamphaeng Phet,เมืองกำแพงเพชร,TH6201,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Sai Ngam,ไทรงาม,TH6202,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Khlong Lan,คลองลาน,TH6203,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Khanu Woralaksaburi,ขาณุวรลักษบุรี,TH6204,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Khlong Khlung,คลองขลุง,TH6205,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Phran Kratai,พรานกระต่าย,TH6206,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Lan Krabue,ลานกระบือ,TH6207,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Sai Thong Watthana,ทรายทองวัฒนา,TH6208,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Pang Sila Thong,ปางศิลาทอง,TH6209,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Bueng Samakkhi,บึงสามัคคี,TH6210,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Kosamphi Nakhon,โกสัมพีนคร,TH6211,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Mueang Tak,เมืองตาก,TH6301,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Ban Tak,บ้านตาก,TH6302,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Sam Ngao,สามเงา,TH6303,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Mae Ramat,แม่ระมาด,TH6304,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Tha Song Yang,ท่าสองยาง,TH6305,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Mae Sot,แม่สอด,TH6306,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Phop Phra,พบพระ,TH6307,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Umphang,อุ้มผาง,TH6308,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Wang Chao,วังเจ้า,TH6309,Tak,ตาก,TH63,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Mueang Sukhothai,เมืองสุโขทัย,TH6401,Sukhothai,สุโขทัย,TH64,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Ban Dan Lan Hoi,บ้านด่านลานหอย,TH6402,Sukhothai,สุโขทัย,TH64,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Khiri Mat,คีรีมาศ,TH6403,Sukhothai,สุโขทัย,TH64,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Kong Krailat,กงไกรลาศ,TH6404,Sukhothai,สุโขทัย,TH64,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Si Satchanalai,ศรีสัชนาลัย,TH6405,Sukhothai,สุโขทัย,TH64,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
Si Samrong,ศรีสำโรง,TH6406,Sukhothai,สุโขทัย,TH64,Thailand,ประเทศไทย,TH,ภาคเหนือตอนล่าง,ภาคเหนือ,เมืองรอง
