ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Talat Luang,ตลาดหลวง,TH150101,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
Bang Kaeo,บางแก้ว,TH150102,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
Sala Daeng,ศาลาแดง,TH150103,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
Pa Ngio,ป่างิ้ว,TH150104,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
Ban Hae,บ้านแห,TH150105,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
Talat Kruat,ตลาดกรวด,TH150106,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
Mahatthai,มหาดไทย,TH150107,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
Ban It,บ้านอิฐ,TH150108,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
Hua Phai,หัวไผ่,TH150109,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
Champa Lo,จำปาหล่อ,TH150110,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
Pho Sa,โพสะ,TH150111,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
Ban Ri,บ้านรี,TH150112,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH
