ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Nai Mueang,ในเมือง,TH310101,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
I San,อิสาณ,TH310102,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Samet,เสม็ด,TH310103,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Ban Bua,บ้านบัว,TH310104,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Sakae Phrong,สะแกโพรง,TH310105,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Sawai Chik,สวายจีก,TH310106,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Ban Yang,บ้านยาง,TH310108,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Phrakhru,พระครู,TH310112,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Thalung Lek,ถลุงเหล็ก,TH310113,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Nong Tat,หนองตาด,TH310114,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Lumpuk,ลุมปุ๊ก,TH310117,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Song Hong,สองห้อง,TH310118,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Bua Thong,บัวทอง,TH310119,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Chum Het,ชุมเห็ด,TH310120,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
Lak Khet,หลักเขต,TH310122,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH
