ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Nai Mueang,ในเมือง,TH180101,Mueang Chai Nat,เมืองชัยนาท,TH1801,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Ban Kluai,บ้านกล้วย,TH180102,Mueang Chai Nat,เมืองชัยนาท,TH1801,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Tha Chai,ท่าชัย,TH180103,Mueang Chai Nat,เมืองชัยนาท,TH1801,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Chai Nat,ชัยนาท,TH180104,Mueang Chai Nat,เมืองชัยนาท,TH1801,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Khao Tha Phra,เขาท่าพระ,TH180105,Mueang Chai Nat,เมืองชัยนาท,TH1801,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Hat Tha Sao,หาดท่าเสา,TH180106,Mueang Chai Nat,เมืองชัยนาท,TH1801,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Thammamun,ธรรมามูล,TH180107,Mueang Chai Nat,เมืองชัยนาท,TH1801,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Suea Hok,เสือโฮก,TH180108,Mueang Chai Nat,เมืองชัยนาท,TH1801,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Nang Lue,นางลือ,TH180109,Mueang Chai Nat,เมืองชัยนาท,TH1801,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Khung Samphao,คุ้งสำเภา,TH180201,Manorom,มโนรมย์,TH1802,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Wat Khok,วัดโคก,TH180202,Manorom,มโนรมย์,TH1802,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Sila Dan,ศิลาดาน,TH180203,Manorom,มโนรมย์,TH1802,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Tha Chanuan,ท่าฉนวน,TH180204,Manorom,มโนรมย์,TH1802,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Hang Nam Sakhon,หางน้ำสาคร,TH180205,Manorom,มโนรมย์,TH1802,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Rai Phatthana,ไร่พัฒนา,TH180206,Manorom,มโนรมย์,TH1802,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
U Taphao,อู่ตะเภา,TH180207,Manorom,มโนรมย์,TH1802,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Wat Sing,วัดสิงห์,TH180301,Wat Sing,วัดสิงห์,TH1803,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Makham Thao,มะขามเฒ่า,TH180302,Wat Sing,วัดสิงห์,TH1803,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Nong Noi,หนองน้อย,TH180303,Wat Sing,วัดสิงห์,TH1803,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Nong Bua,หนองบัว,TH180304,Wat Sing,วัดสิงห์,TH1803,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Nong Khun,หนองขุ่น,TH180306,Wat Sing,วัดสิงห์,TH1803,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Bo Rae,บ่อแร่,TH180307,Wat Sing,วัดสิงห์,TH1803,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Wang Man,วังหมัน,TH180311,Wat Sing,วัดสิงห์,TH1803,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Sapphaya,สรรพยา,TH180401,Sapphaya,สรรพยา,TH1804,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Taluk,ตลุก,TH180402,Sapphaya,สรรพยา,TH1804,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Khao Kaeo,เขาแก้ว,TH180403,Sapphaya,สรรพยา,TH1804,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Pho Nang Dam Tok,โพนางดำตก,TH180404,Sapphaya,สรรพยา,TH1804,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Pho Nang Dam Ok,โพนางดำออก,TH180405,Sapphaya,สรรพยา,TH1804,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Bang Luang,บางหลวง,TH180406,Sapphaya,สรรพยา,TH1804,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Hat Asa,หาดอาษา,TH180407,Sapphaya,สรรพยา,TH1804,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Phraek Si Racha,แพรกศรีราชา,TH180501,Sankhaburi,สรรคบุรี,TH1805,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Thiang Thae,เที่ยงแท้,TH180502,Sankhaburi,สรรคบุรี,TH1805,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Huai Krot,ห้วยกรด,TH180503,Sankhaburi,สรรคบุรี,TH1805,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Pho Ngam,โพงาม,TH180504,Sankhaburi,สรรคบุรี,TH1805,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Bang Khut,บางขุด,TH180505,Sankhaburi,สรรคบุรี,TH1805,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Dong Khon,ดงคอน,TH180506,Sankhaburi,สรรคบุรี,TH1805,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Don Kam,ดอนกำ,TH180507,Sankhaburi,สรรคบุรี,TH1805,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Huai Krot Phatthana,ห้วยกรดพัฒนา,TH180508,Sankhaburi,สรรคบุรี,TH1805,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Hankha,หันคา,TH180601,Hankha,หันคา,TH1806,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Ban Chian,บ้านเชี่ยน,TH180602,Hankha,หันคา,TH1806,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Phrai Nok Yung,ไพรนกยูง,TH180605,Hankha,หันคา,TH1806,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Nong Saeng,หนองแซง,TH180606,Hankha,หันคา,TH1806,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Huai Ngu,ห้วยงู,TH180607,Hankha,หันคา,TH1806,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Wang Kai Thuean,วังไก่เถื่อน,TH180608,Hankha,หันคา,TH1806,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Den Yai,เด่นใหญ่,TH180609,Hankha,หันคา,TH1806,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Sam Ngam Tha Bot,สามง่ามท่าโบสถ์,TH180611,Hankha,หันคา,TH1806,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Nong Mamong,หนองมะโมง,TH180701,Nong Mamong,หนองมะโมง,TH1807,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Wang Takhian,วังตะเคียน,TH180702,Nong Mamong,หนองมะโมง,TH1807,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Saphan Hin,สะพานหิน,TH180703,Nong Mamong,หนองมะโมง,TH1807,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Kut Chok,กุดจอก,TH180704,Nong Mamong,หนองมะโมง,TH1807,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Noen Kham,เนินขาม,TH180801,Noen Kham,เนินขาม,TH1808,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Kabok Tia,กะบกเตี้ย,TH180802,Noen Kham,เนินขาม,TH1808,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
Suk Duean Ha,สุขเดือนห้า,TH180803,Noen Kham,เนินขาม,TH1808,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH
