ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Nai Mueang,ในเมือง,TH400101,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Samran,สำราญ,TH400102,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Khok Si,โคกสี,TH400103,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Tha Phra,ท่าพระ,TH400104,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Ban Thum,บ้านทุ่ม,TH400105,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Mueang Kao,เมืองเก่า,TH400106,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Phra Lap,พระลับ,TH400107,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Sawathi,สาวะถี,TH400108,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Ban Wa,บ้านหว้า,TH400109,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Ban Kho,บ้านค้อ,TH400110,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Daeng Yai,แดงใหญ่,TH400111,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Don Chang,ดอนช้าง,TH400112,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Don Han,ดอนหัน,TH400113,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Sila,ศิลา,TH400114,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Ban Pet,บ้านเป็ด,TH400115,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Nong Tum,หนองตูม,TH400116,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Bueng Niam,บึงเนียม,TH400117,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Non Thon,โนนท่อน,TH400118,Mueang Khon Kaen,เมืองขอนแก่น,TH4001,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Nong Bua,หนองบัว,TH400201,Ban Fang,บ้านฝาง,TH4002,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Pa Wai Nang,ป่าหวายนั่ง,TH400202,Ban Fang,บ้านฝาง,TH4002,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Non Khong,โนนฆ้อง,TH400203,Ban Fang,บ้านฝาง,TH4002,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Ban Lao,บ้านเหล่า,TH400204,Ban Fang,บ้านฝาง,TH4002,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Pa Manao,ป่ามะนาว,TH400205,Ban Fang,บ้านฝาง,TH4002,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Ban Fang,บ้านฝาง,TH400206,Ban Fang,บ้านฝาง,TH4002,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Khok Ngam,โคกงาม,TH400207,Ban Fang,บ้านฝาง,TH4002,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Phra Yuen,พระยืน,TH400301,Phra Yuen,พระยืน,TH4003,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Phra Bu,พระบุ,TH400302,Phra Yuen,พระยืน,TH4003,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Ban Ton,บ้านโต้น,TH400303,Phra Yuen,พระยืน,TH4003,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Nong Waeng,หนองแวง,TH400304,Phra Yuen,พระยืน,TH4003,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Kham Pom,ขามป้อม,TH400305,Phra Yuen,พระยืน,TH4003,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Nong Ruea,หนองเรือ,TH400401,Nong Ruea,หนองเรือ,TH4004,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Ban Meng,บ้านเม็ง,TH400402,Nong Ruea,หนองเรือ,TH4004,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Ban Kong,บ้านกง,TH400403,Nong Ruea,หนองเรือ,TH4004,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Yang Kham,ยางคำ,TH400404,Nong Ruea,หนองเรือ,TH4004,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Chorakhe,จระเข้,TH400405,Nong Ruea,หนองเรือ,TH4004,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Non Thong,โนนทอง,TH400406,Nong Ruea,หนองเรือ,TH4004,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Kut Kwang,กุดกว้าง,TH400407,Nong Ruea,หนองเรือ,TH4004,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Non Than,โนนทัน,TH400408,Nong Ruea,หนองเรือ,TH4004,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Non Sa-At,โนนสะอาด,TH400409,Nong Ruea,หนองเรือ,TH4004,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Ban Phue,บ้านผือ,TH400410,Nong Ruea,หนองเรือ,TH4004,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Chum Phae,ชุมแพ,TH400501,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Non Han,โนนหัน,TH400502,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Na Nong Thum,นาหนองทุ่ม,TH400503,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Non Udom,โนนอุดม,TH400504,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Khua Riang,ขัวเรียง,TH400505,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Nong Phai,หนองไผ่,TH400506,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Chai So,ไชยสอ,TH400507,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Wang Hin Lat,วังหินลาด,TH400508,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Na Phiang,นาเพียง,TH400509,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Nong Khiat,หนองเขียด,TH400510,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Nong Sao Lao,หนองเสาเล้า,TH400511,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
Non Sa-At,โนนสะอาด,TH400512,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH
