ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Kut Pong,กุดป่อง,TH420101,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Mueang,เมือง,TH420102,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Na O,นาอ้อ,TH420103,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Kok Du,กกดู่,TH420104,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Nam Man,น้ำหมาน,TH420105,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Siao,เสี้ยว,TH420106,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Na An,นาอาน,TH420107,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Na Pong,นาโป่ง,TH420108,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Na Din Dam,นาดินดำ,TH420109,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Nam Suai,น้ำสวย,TH420110,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Chaiyaphruek,ชัยพฤกษ์,TH420111,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Na Khaem,นาแขม,TH420112,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Si Song Rak,ศรีสองรัก,TH420113,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Kok Thong,กกทอง,TH420114,Mueang Loei,เมืองเลย,TH4201,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Na Duang,นาด้วง,TH420201,Na Duang,นาด้วง,TH4202,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Na Dok Kham,นาดอกคำ,TH420202,Na Duang,นาด้วง,TH4202,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Tha Sa-At,ท่าสะอาด,TH420203,Na Duang,นาด้วง,TH4202,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Tha Sawan,ท่าสวรรค์,TH420204,Na Duang,นาด้วง,TH4202,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Chiang Khan,เชียงคาน,TH420301,Chiang Khan,เชียงคาน,TH4203,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
That,ธาตุ,TH420302,Chiang Khan,เชียงคาน,TH4203,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Na Sao,นาซ่าว,TH420303,Chiang Khan,เชียงคาน,TH4203,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Khao Kaeo,เขาแก้ว,TH420304,Chiang Khan,เชียงคาน,TH4203,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Pak Tom,ปากตม,TH420305,Chiang Khan,เชียงคาน,TH4203,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Bu Hom,บุฮม,TH420306,Chiang Khan,เชียงคาน,TH4203,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Chom Si,จอมศรี,TH420307,Chiang Khan,เชียงคาน,TH4203,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Hat Sai Khao,หาดทรายขาว,TH420308,Chiang Khan,เชียงคาน,TH4203,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Pak Chom,ปากชม,TH420401,Pak Chom,ปากชม,TH4204,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Chiang Klom,เชียงกลม,TH420402,Pak Chom,ปากชม,TH4204,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Hat Khamphi,หาดคัมภีร์,TH420403,Pak Chom,ปากชม,TH4204,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Huai Bo Suen,ห้วยบ่อซืน,TH420404,Pak Chom,ปากชม,TH4204,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Huai Phichai,ห้วยพิชัย,TH420405,Pak Chom,ปากชม,TH4204,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Chom Charoen,ชมเจริญ,TH420406,Pak Chom,ปากชม,TH4204,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Dan Sai,ด่านซ้าย,TH420501,Dan Sai,ด่านซ้าย,TH4205,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Pak Man,ปากหมัน,TH420502,Dan Sai,ด่านซ้าย,TH4205,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Na Di,นาดี,TH420503,Dan Sai,ด่านซ้าย,TH4205,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Khok Ngam,โคกงาม,TH420504,Dan Sai,ด่านซ้าย,TH4205,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Phon Sung,โพนสูง,TH420505,Dan Sai,ด่านซ้าย,TH4205,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
I Pum,อิปุ่ม,TH420506,Dan Sai,ด่านซ้าย,TH4205,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Kok Sathon,กกสะทอน,TH420507,Dan Sai,ด่านซ้าย,TH4205,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Pong,โป่ง,TH420508,Dan Sai,ด่านซ้าย,TH4205,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
Wang Yao,วังยาว,TH420509,Dan Sai,ด่านซ้าย,TH4205,Loei,เลย,TH42,Thailand,ประเทศไทย,TH
