ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Talat,ตลาด,TH440101,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Khwao,เขวา,TH440102,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Tha Tum,ท่าตูม,TH440103,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Waeng Nang,แวงน่าง,TH440104,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Khok Ko,โคกก่อ,TH440105,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Don Wan,ดอนหว่าน,TH440106,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Koeng,เกิ้ง,TH440107,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Kaeng Loeng Chan,แก่งเลิงจาน,TH440108,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Tha Song Khon,ท่าสองคอน,TH440109,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Lat Phatthana,ลาดพัฒนา,TH440110,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Nong Pling,หนองปลิง,TH440111,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Huai Aeng,ห้วยแอ่ง,TH440112,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Nong No,หนองโน,TH440113,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Bua Kho,บัวค้อ,TH440114,Mueang Maha Sarakham,เมืองมหาสารคาม,TH4401,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Kae Dam,แกดำ,TH440201,Kae Dam,แกดำ,TH4402,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Wang Saeng,วังแสง,TH440202,Kae Dam,แกดำ,TH4402,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Mittraphap,มิตรภาพ,TH440203,Kae Dam,แกดำ,TH4402,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Nong Kung,หนองกุง,TH440204,Kae Dam,แกดำ,TH4402,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Non Phiban,โนนภิบาล,TH440205,Kae Dam,แกดำ,TH4402,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Hua Khwang,หัวขวาง,TH440301,Kosum Phisai,โกสุมพิสัย,TH4403,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Yang Noi,ยางน้อย,TH440302,Kosum Phisai,โกสุมพิสัย,TH4403,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Wang Yao,วังยาว,TH440303,Kosum Phisai,โกสุมพิสัย,TH4403,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Khwao Rai,เขวาไร่,TH440304,Kosum Phisai,โกสุมพิสัย,TH4403,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
Phaeng,แพง,TH440305,Kosum Phisai,โกสุมพิสัย,TH4403,Maha Sarakham,มหาสารคาม,TH44,Thailand,ประเทศไทย,TH
