ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Nai Mueang,ในเมือง,TH300101,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Pho Klang,โพธิ์กลาง,TH300102,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Chabok,หนองจะบก,TH300103,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Khok Sung,โคกสูง,TH300104,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Maroeng,มะเริง,TH300105,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Rawiang,หนองระเวียง,TH300106,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Pru Yai,ปรุใหญ่,TH300107,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Muen Wai,หมื่นไวย,TH300108,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Phon Krang,พลกรัง,TH300109,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Phai Lom,หนองไผ่ล้อม,TH300110,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Hua Thale,หัวทะเล,TH300111,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Ban Ko,บ้านเกาะ,TH300112,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Ban Mai,บ้านใหม่,TH300113,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Phutsa,พุดซา,TH300114,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Ban Pho,บ้านโพธิ์,TH300115,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Cho Ho,จอหอ,TH300116,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Khok Kruat,โคกกรวด,TH300117,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Chai Mongkhon,ไชยมงคล,TH300118,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Bua Sala,หนองบัวศาลา,TH300119,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Suranari,สุรนารี,TH300120,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Si Mum,สีมุม,TH300121,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Talat,ตลาด,TH300122,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Phanao,พะเนา,TH300123,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Krathum,หนองกระทุ่ม,TH300124,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Khai Nam,หนองไข่น้ำ,TH300125,Mueang Nakhon Ratchasima,เมืองนครราชสีมา,TH3001,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Chae,แชะ,TH300201,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Chaliang,เฉลียง,TH300202,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Khon Buri,ครบุรี,TH300203,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Khok Krachai,โคกกระชาย,TH300204,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Chorakhe Hin,จระเข้หิน,TH300205,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Map Tako En,มาบตะโกเอน,TH300206,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Oraphim,อรพิมพ์,TH300207,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Ban Mai,บ้านใหม่,TH300208,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Lamphiak,ลำเพียก,TH300209,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Khon Buri Tai,ครบุรีใต้,TH300210,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Tabaek Ban,ตะแบกบาน,TH300211,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Sa Wan Phraya,สระว่านพระยา,TH300212,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Soeng Sang,เสิงสาง,TH300301,Soeng Sang,เสิงสาง,TH3003,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Sa Takhian,สระตะเคียน,TH300302,Soeng Sang,เสิงสาง,TH3003,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Non Sombun,โนนสมบูรณ์,TH300303,Soeng Sang,เสิงสาง,TH3003,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Kut Bot,กุดโบสถ์,TH300304,Soeng Sang,เสิงสาง,TH3003,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Suk Phaibun,สุขไพบูลย์,TH300305,Soeng Sang,เสิงสาง,TH3003,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Ban Rat,บ้านราษฎร์,TH300306,Soeng Sang,เสิงสาง,TH3003,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Mueang Khong,เมืองคง,TH300401,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Khu Khat,คูขาด,TH300402,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Thephalai,เทพาลัย,TH300403,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Ta Chan,ตาจั่น,TH300404,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Ban Prang,บ้านปรางค์,TH300405,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Manao,หนองมะนาว,TH300406,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Bua,หนองบัว,TH300407,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Non Teng,โนนเต็ง,TH300408,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Don Yai,ดอนใหญ่,TH300409,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Kham Sombun,ขามสมบูรณ์,TH300410,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Ban Lueam,บ้านเหลื่อม,TH300501,Ban Lueam,บ้านเหลื่อม,TH3005,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Wang Pho,วังโพธิ์,TH300502,Ban Lueam,บ้านเหลื่อม,TH3005,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Khok Krabueang,โคกกระเบื้อง,TH300503,Ban Lueam,บ้านเหลื่อม,TH3005,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Cho Raka,ช่อระกา,TH300504,Ban Lueam,บ้านเหลื่อม,TH3005,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Chakkarat,จักราช,TH300601,Chakkarat,จักราช,TH3006,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Thong Lang,ทองหลาง,TH300603,Chakkarat,จักราช,TH3006,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Si Suk,สีสุก,TH300604,Chakkarat,จักราช,TH3006,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Kham,หนองขาม,TH300605,Chakkarat,จักราช,TH3006,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Phluang,หนองพลวง,TH300607,Chakkarat,จักราช,TH3006,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Si Lako,ศรีละกอ,TH300610,Chakkarat,จักราช,TH3006,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Khlong Mueang,คลองเมือง,TH300611,Chakkarat,จักราช,TH3006,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Hin Khon,หินโคน,TH300613,Chakkarat,จักราช,TH3006,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Krathok,กระโทก,TH300701,Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Phlapphla,พลับพลา,TH300702,Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Tha Ang,ท่าอ่าง,TH300703,Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Thung Arun,ทุ่งอรุณ,TH300704,Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Tha Lat Khao,ท่าลาดขาว,TH300705,Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Tha Chalung,ท่าจะหลุง,TH300706,Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Tha Yiam,ท่าเยี่ยม,TH300707,Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Chok Chai,โชคชัย,TH300708,Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Lalom Mai Phatthana,ละลมใหม่พัฒนา,TH300709,Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Dan Kwian,ด่านเกวียน,TH300710,Chok Chai,โชคชัย,TH3007,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Kut Phiman,กุดพิมาน,TH300801,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Dan Khun Thot,ด่านขุนทด,TH300802,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Dan Nok,ด่านนอก,TH300803,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Dan Nai,ด่านใน,TH300804,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Takhian,ตะเคียน,TH300805,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Ban Kao,บ้านเก่า,TH300806,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Ban Praeng,บ้านแปรง,TH300807,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Phan Chana,พันชนะ,TH300808,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Sa Chorakhe,สระจรเข้,TH300809,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Krat,หนองกราด,TH300810,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Bua Takiat,หนองบัวตะเกียด,TH300811,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Bua Lakhon,หนองบัวละคร,TH300812,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Hin Dat,หินดาด,TH300813,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Huai Bong,ห้วยบง,TH300815,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Non Mueang Phatthana,โนนเมืองพัฒนา,TH300817,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Sai,หนองไทร,TH300818,Dan Khun Thot,ด่านขุนทด,TH3008,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Non Thai,โนนไทย,TH300901,Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Dan Chak,ด่านจาก,TH300902,Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Kampang,กำปัง,TH300903,Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Samrong,สำโรง,TH300904,Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Khang Phlu,ค้างพลู,TH300905,Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Ban Wang,บ้านวัง,TH300906,Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Banlang,บัลลังก์,TH300907,Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Sai-O,สายออ,TH300908,Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Thanon Pho,ถนนโพธิ์,TH300909,Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Makha,มะค่า,TH300914,Non Thai,โนนไทย,TH3009,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Non Sung,โนนสูง,TH301001,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Mai,ใหม่,TH301002,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Tanot,โตนด,TH301003,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Bing,บิง,TH301004,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Don Chomphu,ดอนชมพู,TH301005,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Than Prasat,ธารปราสาท,TH301006,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Lum Khao,หลุมข้าว,TH301007,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Makha,มะค่า,TH301008,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Phon Songkhram,พลสงคราม,TH301009,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Chan-At,จันอัด,TH301010,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Kham Thao,ขามเฒ่า,TH301011,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Dan Khla,ด่านคล้า,TH301012,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Lam Kho Hong,ลำคอหงษ์,TH301013,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Mueang Prasat,เมืองปราสาท,TH301014,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Don Wai,ดอนหวาย,TH301015,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Lammun,ลำมูล,TH301016,Non Sung,โนนสูง,TH3010,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Kham Sakaesaeng,ขามสะแกแสง,TH301101,Kham Sakaesaeng,ขามสะแกแสง,TH3011,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Non Mueang,โนนเมือง,TH301102,Kham Sakaesaeng,ขามสะแกแสง,TH3011,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Mueang Nat,เมืองนาท,TH301103,Kham Sakaesaeng,ขามสะแกแสง,TH3011,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Chiwuek,ชีวึก,TH301104,Kham Sakaesaeng,ขามสะแกแสง,TH3011,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Pha-Ngat,พะงาด,TH301105,Kham Sakaesaeng,ขามสะแกแสง,TH3011,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Hua Fan,หนองหัวฟาน,TH301106,Kham Sakaesaeng,ขามสะแกแสง,TH3011,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Mueang Kaset,เมืองเกษตร,TH301107,Kham Sakaesaeng,ขามสะแกแสง,TH3011,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Bua Yai,บัวใหญ่,TH301201,Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Huai Yang,ห้วยยาง,TH301203,Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Sema Yai,เสมาใหญ่,TH301204,Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Don Tanin,ดอนตะหนิน,TH301206,Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Bua Sa-At,หนองบัวสะอาด,TH301207,Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Non Thong Lang,โนนทองหลาง,TH301208,Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Kut Chok,กุดจอก,TH301214,Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Dan Chang,ด่านช้าง,TH301215,Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Khun Thong,ขุนทอง,TH301220,Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Nong Chaeng Yai,หนองแจ้งใหญ่,TH301224,Bua Yai,บัวใหญ่,TH3012,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Prathai,ประทาย,TH301301,Prathai,ประทาย,TH3013,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Krathum Rai,กระทุ่มราย,TH301303,Prathai,ประทาย,TH3013,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
Wang Mai Daeng,วังไม้แดง,TH301304,Prathai,ประทาย,TH3013,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH
