ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Sabarang,สะบารัง,TH940101,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
A Noru,อาเนาะรู,TH940102,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Chabang Tiko,จะบังติกอ,TH940103,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Bana,บานา,TH940104,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Tanyong Lulo,ตันหยงลุโละ,TH940105,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Khlong Maning,คลองมานิง,TH940106,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Kami Yo,กะมิยอ,TH940107,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Bara Hom,บาราโหม,TH940108,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Paka Harang,ปะกาฮะรัง,TH940109,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Ru Samilae,รูสะมิแล,TH940110,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Talu Bo,ตะลุโบะ,TH940111,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Bara Ho,บาราเฮาะ,TH940112,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Pu Yut,ปุยุด,TH940113,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Khok Pho,โคกโพธิ์,TH940201,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Makrut,มะกรูด,TH940202,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Bang Kro,บางโกระ,TH940203,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Pa Bon,ป่าบอน,TH940204,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Sai Khao,ทรายขาว,TH940205,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Na Pradu,นาประดู่,TH940206,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Pak Lo,ปากล่อ,TH940207,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Thung Phla,ทุ่งพลา,TH940208,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Tha Ruea,ท่าเรือ,TH940211,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Na Ket,นาเกตุ,TH940213,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Khuan Nori,ควนโนรี,TH940214,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Chang Hai Tok,ช้างให้ตก,TH940215,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Ko Po,เกาะเปาะ,TH940301,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Kholo Tanyong,คอลอตันหยง,TH940302,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Don Rak,ดอนรัก,TH940303,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Dato,ดาโต๊ะ,TH940304,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Tuyong,ตุยง,TH940305,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Tha Kamcham,ท่ากำชำ,TH940306,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Bo Thong,บ่อทอง,TH940307,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Bang Khao,บางเขา,TH940308,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Bang Tawa,บางตาวา,TH940309,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Pulo Puyo,ปุโละปุโย,TH940310,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Ya Bi,ยาบี,TH940311,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Lipa Sa-Ngo,ลิปะสะโง,TH940312,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Panare,ปะนาเระ,TH940401,Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Tha Kham,ท่าข้าม,TH940402,Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Ban Nok,บ้านนอก,TH940403,Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Don,ดอน,TH940404,Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Khuan,ควน,TH940405,Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Tha Nam,ท่าน้ำ,TH940406,Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Khok Krabue,คอกกระบือ,TH940407,Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Pho Ming,พ่อมิ่ง,TH940408,Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Ban Klang,บ้านกลาง,TH940409,Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Ban Nam Bo,บ้านน้ำบ่อ,TH940410,Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Mayo,มายอ,TH940501,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Thanon,ถนน,TH940502,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Trang,ตรัง,TH940503,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Krawa,กระหวะ,TH940504,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Lubo Yiri,ลุโบะยิไร,TH940505,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
La-Nga,ลางา,TH940506,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Kraso,กระเสาะ,TH940507,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Ko Chan,เกาะจัน,TH940508,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Pado,ปะโด,TH940509,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Sakho Bon,สาคอบน,TH940510,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Sakho Tai,สาคอใต้,TH940511,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Sakam,สะกำ,TH940512,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Pa Nan,ปานัน,TH940513,Mayo,มายอ,TH9405,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Talo Maena,ตะโละแมะนา,TH940601,Thung Yang Daeng,ทุ่งยางแดง,TH9406,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Phithen,พิเทน,TH940602,Thung Yang Daeng,ทุ่งยางแดง,TH9406,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Nam Dam,น้ำดำ,TH940603,Thung Yang Daeng,ทุ่งยางแดง,TH9406,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Pa Ku,ปากู,TH940604,Thung Yang Daeng,ทุ่งยางแดง,TH9406,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Talu Ban,ตะลุบัน,TH940701,Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Tabing,ตะบิ้ง,TH940702,Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Pase Yawo,ปะเสยะวอ,TH940703,Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Bang Kao,บางเก่า,TH940704,Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Buere,บือเระ,TH940705,Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Tro Bon,เตราะบอน,TH940706,Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Kadunong,กะดุนง,TH940707,Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Lahan,ละหาร,TH940708,Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Manang Dalam,มะนังดาลำ,TH940709,Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Paen,แป้น,TH940710,Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
Thung Khla,ทุ่งคล้า,TH940711,Sai Buri,สายบุรี,TH9407,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH
