ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Nai Mueang,ในเมือง,TH450101,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Rop Mueang,รอบเมือง,TH450102,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Nuea Mueang,เหนือเมือง,TH450103,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Khon Kaen,ขอนแก่น,TH450104,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Na Pho,นาโพธิ์,TH450105,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Sa-At Sombun,สะอาดสมบูรณ์,TH450106,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Si Kaeo,สีแก้ว,TH450108,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Po Phan,ปอภาร,TH450109,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Non Rang,โนนรัง,TH450110,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Nong Kaeo,หนองแก้ว,TH450117,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Nong Waeng,หนองแวง,TH450118,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Dong Lan,ดงลาน,TH450120,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Khaen Yai,แคนใหญ่,TH450123,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Non Tan,โนนตาล,TH450124,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Mueang Thong,เมืองทอง,TH450125,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Kaset Wisai,เกษตรวิสัย,TH450201,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Mueang Bua,เมืองบัว,TH450202,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Lao Luang,เหล่าหลวง,TH450203,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Sing Khok,สิงห์โคก,TH450204,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Dong Khrang Yai,ดงครั่งใหญ่,TH450205,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Ban Fang,บ้านฝาง,TH450206,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Nong Waeng,หนองแวง,TH450207,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Kamphaeng,กำแพง,TH450208,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Ku Ka Sing,กู่กาสิงห์,TH450209,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Nam Om,น้ำอ้อม,TH450210,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Non Sawang,โนนสว่าง,TH450211,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Thung Thong,ทุ่งทอง,TH450212,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Dong Khrang Noi,ดงครั่งน้อย,TH450213,Kaset Wisai,เกษตรวิสัย,TH4502,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Bua Daeng,บัวแดง,TH450301,Pathum Rat,ปทุมรัตต์,TH4503,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Dok Lam,ดอกล้ำ,TH450302,Pathum Rat,ปทุมรัตต์,TH4503,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Nong Khaen,หนองแคน,TH450303,Pathum Rat,ปทุมรัตต์,TH4503,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Phon Sung,โพนสูง,TH450304,Pathum Rat,ปทุมรัตต์,TH4503,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Non Sawan,โนนสวรรค์,TH450305,Pathum Rat,ปทุมรัตต์,TH4503,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Sa Bua,สระบัว,TH450306,Pathum Rat,ปทุมรัตต์,TH4503,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Non Sa-Nga,โนนสง่า,TH450307,Pathum Rat,ปทุมรัตต์,TH4503,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Khi Lek,ขี้เหล็ก,TH450308,Pathum Rat,ปทุมรัตต์,TH4503,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Hua Chang,หัวช้าง,TH450401,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Nong Phue,หนองผือ,TH450402,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
Mueang Hong,เมืองหงส์,TH450403,Chaturaphak Phiman,จตุรพักตรพิมาน,TH4504,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH
