ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Pak Phriao,ปากเพรียว,TH190101,Mueang Saraburi,เมืองสระบุรี,TH1901,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Dao Rueang,ดาวเรือง,TH190105,Mueang Saraburi,เมืองสระบุรี,TH1901,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Na Chong,นาโฉง,TH190106,Mueang Saraburi,เมืองสระบุรี,TH1901,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Khok Sawang,โคกสว่าง,TH190107,Mueang Saraburi,เมืองสระบุรี,TH1901,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong No,หนองโน,TH190108,Mueang Saraburi,เมืองสระบุรี,TH1901,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Yao,หนองยาว,TH190109,Mueang Saraburi,เมืองสระบุรี,TH1901,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Pak Khao San,ปากข้าวสาร,TH190110,Mueang Saraburi,เมืองสระบุรี,TH1901,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Pla Lai,หนองปลาไหล,TH190111,Mueang Saraburi,เมืองสระบุรี,TH1901,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Kut Nok Plao,กุดนกเปล้า,TH190112,Mueang Saraburi,เมืองสระบุรี,TH1901,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Taling Chan,ตลิ่งชัน,TH190113,Mueang Saraburi,เมืองสระบุรี,TH1901,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Takut,ตะกุด,TH190114,Mueang Saraburi,เมืองสระบุรี,TH1901,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Kaeng Khoi,แก่งคอย,TH190201,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Thap Kwang,ทับกวาง,TH190202,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Tan Diao,ตาลเดี่ยว,TH190203,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Huai Haeng,ห้วยแห้ง,TH190204,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Tha Khlo,ท่าคล้อ,TH190205,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Hin Son,หินซ้อน,TH190206,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Ban That,บ้านธาตุ,TH190207,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Ban Pa,บ้านป่า,TH190208,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Tha Tum,ท่าตูม,TH190209,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Cha-Om,ชะอม,TH190210,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Song Khon,สองคอน,TH190211,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Tao Pun,เตาปูน,TH190212,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Cham Phak Phaeo,ชำผักแพว,TH190213,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Tha Maprang,ท่ามะปราง,TH190215,Kaeng Khoi,แก่งคอย,TH1902,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Khae,หนองแค,TH190301,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Kum Hak,กุ่มหัก,TH190302,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Khotchasit,คชสิทธิ์,TH190303,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Khok Tum,โคกตูม,TH190304,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Khok Yae,โคกแย้,TH190305,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Bua Loi,บัวลอย,TH190306,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Phai Tam,ไผ่ต่ำ,TH190307,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Phon Thong,โพนทอง,TH190308,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Huai Khamin,ห้วยขมิ้น,TH190309,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Huai Sai,ห้วยทราย,TH190310,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Khai Nam,หนองไข่น้ำ,TH190311,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Khaem,หนองแขม,TH190312,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Chik,หนองจิก,TH190313,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Chorakhe,หนองจรเข้,TH190314,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Nak,หนองนาก,TH190315,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Pla Mo,หนองปลาหมอ,TH190316,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Pling,หนองปลิง,TH190317,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Rong,หนองโรง,TH190318,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Mu,หนองหมู,TH190401,Wihan Daeng,วิหารแดง,TH1904,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Ban Lam,บ้านลำ,TH190402,Wihan Daeng,วิหารแดง,TH1904,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Khlong Ruea,คลองเรือ,TH190403,Wihan Daeng,วิหารแดง,TH1904,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Wihan Daeng,วิหารแดง,TH190404,Wihan Daeng,วิหารแดง,TH1904,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Suang,หนองสรวง,TH190405,Wihan Daeng,วิหารแดง,TH1904,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Charoen Tham,เจริญธรรม,TH190406,Wihan Daeng,วิหารแดง,TH1904,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Saeng,หนองแซง,TH190501,Nong Saeng,หนองแซง,TH1905,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Khwai So,หนองควายโซ,TH190502,Nong Saeng,หนองแซง,TH1905,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Hua Pho,หนองหัวโพ,TH190503,Nong Saeng,หนองแซง,TH1905,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Sida,หนองสีดา,TH190504,Nong Saeng,หนองแซง,TH1905,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Kop,หนองกบ,TH190505,Nong Saeng,หนองแซง,TH1905,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Kai Sao,ไก่เส่า,TH190506,Nong Saeng,หนองแซง,TH1905,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Khok Sa-At,โคกสะอาด,TH190507,Nong Saeng,หนองแซง,TH1905,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Muang Wan,ม่วงหวาน,TH190508,Nong Saeng,หนองแซง,TH1905,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Khao Din,เขาดิน,TH190509,Nong Saeng,หนองแซง,TH1905,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Ban Mo,บ้านหมอ,TH190601,Ban Mo,บ้านหมอ,TH1906,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Bang Khamot,บางโขมด,TH190602,Ban Mo,บ้านหมอ,TH1906,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Sang Sok,สร่างโศก,TH190603,Ban Mo,บ้านหมอ,TH1906,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Talat Noi,ตลาดน้อย,TH190604,Ban Mo,บ้านหมอ,TH1906,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Horathep,หรเทพ,TH190605,Ban Mo,บ้านหมอ,TH1906,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Khok Yai,โคกใหญ่,TH190606,Ban Mo,บ้านหมอ,TH1906,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Phai Khwang,ไผ่ขวาง,TH190607,Ban Mo,บ้านหมอ,TH1906,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Ban Khrua,บ้านครัว,TH190608,Ban Mo,บ้านหมอ,TH1906,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Bua,หนองบัว,TH190609,Ban Mo,บ้านหมอ,TH1906,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Don Phut,ดอนพุด,TH190701,Don Phut,ดอนพุด,TH1907,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Phai Lio,ไผ่หลิ่ว,TH190702,Don Phut,ดอนพุด,TH1907,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Ban Luang,บ้านหลวง,TH190703,Don Phut,ดอนพุด,TH1907,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Dong Ta-Ngao,ดงตะงาว,TH190704,Don Phut,ดอนพุด,TH1907,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Don,หนองโดน,TH190801,Nong Don,หนองโดน,TH1908,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Ban Klap,บ้านกลับ,TH190802,Nong Don,หนองโดน,TH1908,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Don Thong,ดอนทอง,TH190803,Nong Don,หนองโดน,TH1908,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Ban Prong,บ้านโปร่ง,TH190804,Nong Don,หนองโดน,TH1908,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Phra Phutthabat,พระพุทธบาท,TH190901,Phra Phutthabat,พระพุทธบาท,TH1909,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Khun Khlon,ขุนโขลน,TH190902,Phra Phutthabat,พระพุทธบาท,TH1909,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Than Kasem,ธารเกษม,TH190903,Phra Phutthabat,พระพุทธบาท,TH1909,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Na Yao,นายาว,TH190904,Phra Phutthabat,พระพุทธบาท,TH1909,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Phu Kham Chan,พุคำจาน,TH190905,Phra Phutthabat,พระพุทธบาท,TH1909,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Khao Wong,เขาวง,TH190906,Phra Phutthabat,พระพุทธบาท,TH1909,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Huai Pa Wai,ห้วยป่าหวาย,TH190907,Phra Phutthabat,พระพุทธบาท,TH1909,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Phu Krang,พุกร่าง,TH190908,Phra Phutthabat,พระพุทธบาท,TH1909,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Nong Kae,หนองแก,TH190909,Phra Phutthabat,พระพุทธบาท,TH1909,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Sao Hai,เสาไห้,TH191001,Sao Hai,เสาไห้,TH1910,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Ban Yang,บ้านยาง,TH191002,Sao Hai,เสาไห้,TH1910,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Hua Pluak,หัวปลวก,TH191003,Sao Hai,เสาไห้,TH1910,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Ngio Ngam,งิ้วงาม,TH191004,Sao Hai,เสาไห้,TH1910,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Sala Ri Thai,ศาลารีไทย,TH191005,Sao Hai,เสาไห้,TH1910,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Ton Tan,ต้นตาล,TH191006,Sao Hai,เสาไห้,TH1910,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Tha Chang,ท่าช้าง,TH191007,Sao Hai,เสาไห้,TH1910,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Phraya Thot,พระยาทด,TH191008,Sao Hai,เสาไห้,TH1910,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Muang Ngam,ม่วงงาม,TH191009,Sao Hai,เสาไห้,TH1910,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
Roeng Rang,เริงราง,TH191010,Sao Hai,เสาไห้,TH1910,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH
