ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Phiman,พิมาน,TH910101,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Khlong Khut,คลองขุด,TH910102,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Khuan Khan,ควนขัน,TH910103,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Ban Khuan,บ้านควน,TH910104,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Chalung,ฉลุง,TH910105,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Ko Sarai,เกาะสาหร่าย,TH910106,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Tanyong Po,ตันหยงโป,TH910107,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Che Bi Lang,เจ๊ะบิลัง,TH910108,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Tam Malang,ตำมะลัง,TH910109,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Puyu,ปูยู,TH910110,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Khuan Pho,ควนโพธิ์,TH910111,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Ketri,เกตรี,TH910112,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Khuan Don,ควนโดน,TH910201,Khuan Don,ควนโดน,TH9102,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Khuan Sato,ควนสตอ,TH910202,Khuan Don,ควนโดน,TH9102,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Yan Sue,ย่านซื่อ,TH910203,Khuan Don,ควนโดน,TH9102,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Wang Prachan,วังประจัน,TH910204,Khuan Don,ควนโดน,TH9102,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Thung Nui,ทุ่งนุ้ย,TH910301,Khuan Kalong,ควนกาหลง,TH9103,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Khuan Kalong,ควนกาหลง,TH910302,Khuan Kalong,ควนกาหลง,TH9103,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Udai Charoen,อุไดเจริญ,TH910303,Khuan Kalong,ควนกาหลง,TH9103,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Tha Phae,ท่าแพ,TH910401,Tha Phae,ท่าแพ,TH9104,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Pae-Ra,แป-ระ,TH910402,Tha Phae,ท่าแพ,TH9104,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Sakhon,สาคร,TH910403,Tha Phae,ท่าแพ,TH9104,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Tha Ruea,ท่าเรือ,TH910404,Tha Phae,ท่าแพ,TH9104,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Kamphaeng,กำแพง,TH910501,La-Ngu,ละงู,TH9105,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
La-Ngu,ละงู,TH910502,La-Ngu,ละงู,TH9105,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Khao Khao,เขาขาว,TH910503,La-Ngu,ละงู,TH9105,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Pak Nam,ปากน้ำ,TH910504,La-Ngu,ละงู,TH9105,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Nam Phut,น้ำผุด,TH910505,La-Ngu,ละงู,TH9105,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Laem Son,แหลมสน,TH910506,La-Ngu,ละงู,TH9105,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Thung Wa,ทุ่งหว้า,TH910601,Thung Wa,ทุ่งหว้า,TH9106,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Na Thon,นาทอน,TH910602,Thung Wa,ทุ่งหว้า,TH9106,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Khon Khlan,ขอนคลาน,TH910603,Thung Wa,ทุ่งหว้า,TH9106,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Thung Bu Lang,ทุ่งบุหลัง,TH910604,Thung Wa,ทุ่งหว้า,TH9106,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Pa Kae Bo Hin,ป่าแก่บ่อหิน,TH910605,Thung Wa,ทุ่งหว้า,TH9106,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Pam Phatthana,ปาล์มพัฒนา,TH910701,Manang,มะนัง,TH9107,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
Nikhom Phatthana,นิคมพัฒนา,TH910702,Manang,มะนัง,TH9107,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH
