ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Mueang Nuea,เมืองเหนือ,TH330101,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Mueang Tai,เมืองใต้,TH330102,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Khu Sot,คูซอด,TH330103,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Sam,ซำ,TH330104,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Chan,จาน,TH330105,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Tadop,ตะดอบ,TH330106,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Nong Khrok,หนองครก,TH330107,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Phon Kha,โพนข่า,TH330111,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Phon Kho,โพนค้อ,TH330112,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Phon Khwao,โพนเขวา,TH330115,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Ya Plong,หญ้าปล้อง,TH330116,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Thum,ทุ่ม,TH330118,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Nong Hai,หนองไฮ,TH330119,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Nong Kaeo,หนองแก้ว,TH330121,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Nam Kham,น้ำคำ,TH330122,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Pho,โพธิ์,TH330123,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
Mak Khiap,หมากเขียบ,TH330124,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH
