ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Thap Thiang,ทับเที่ยง,TH920101,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Na Phala,นาพละ,TH920104,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Ban Khuan,บ้านควน,TH920105,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Na Bin La,นาบินหลา,TH920106,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Khuan Pring,ควนปริง,TH920107,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Na Yong Tai,นาโยงใต้,TH920108,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Bang Rak,บางรัก,TH920109,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Khok Lo,โคกหล่อ,TH920110,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Na To Ming,นาโต๊ะหมิง,TH920113,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Nong Trut,หนองตรุด,TH920114,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Nam Phut,น้ำผุด,TH920115,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Na Ta Luang,นาตาล่วง,TH920117,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Ban Pho,บ้านโพธิ์,TH920118,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Na Tham Nuea,นาท่ามเหนือ,TH920119,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Na Tham Tai,นาท่ามใต้,TH920120,Mueang Trang,เมืองตรัง,TH9201,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Kantang,กันตัง,TH920201,Kantang,กันตัง,TH9202,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Khuan Thani,ควนธานี,TH920202,Kantang,กันตัง,TH9202,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Bang Mak,บางหมาก,TH920203,Kantang,กันตัง,TH9202,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Bang Pao,บางเป้า,TH920204,Kantang,กันตัง,TH9202,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Wang Won,วังวน,TH920205,Kantang,กันตัง,TH9202,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
Kantang Tai,กันตังใต้,TH920206,Kantang,กันตัง,TH9202,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH
