ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Bang Phra,บางพระ,TH230101,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Nong Samet,หนองเสม็ด,TH230102,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Nong Sano,หนองโสน,TH230103,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Nong Khan Song,หนองคันทรง,TH230104,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Huang Nam Khao,ห้วงน้ำขาว,TH230105,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Ao Yai,อ่าวใหญ่,TH230106,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Wang Krachae,วังกระแจะ,TH230107,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Huai Raeng,ห้วยแร้ง,TH230108,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Noen Sai,เนินทราย,TH230109,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Tha Phrik,ท่าพริก,TH230110,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Tha Kum,ท่ากุ่ม,TH230111,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Takang,ตะกาง,TH230112,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Cham Rak,ชำราก,TH230113,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Laem Klat,แหลมกลัด,TH230114,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Khlong Yai,คลองใหญ่,TH230201,Khlong Yai,คลองใหญ่,TH2302,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Mai Rut,ไม้รูด,TH230202,Khlong Yai,คลองใหญ่,TH2302,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Hat Lek,หาดเล็ก,TH230203,Khlong Yai,คลองใหญ่,TH2302,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Khao Saming,เขาสมิง,TH230301,Khao Saming,เขาสมิง,TH2303,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Saen Tung,แสนตุ้ง,TH230302,Khao Saming,เขาสมิง,TH2303,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
Wang Takhian,วังตะเคียน,TH230303,Khao Saming,เขาสมิง,TH2303,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH
