ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE
Sateng,สะเตง,TH950101,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Bu Di,บุดี,TH950102,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Yu Po,ยุโป,TH950103,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Li Don,ลิดล,TH950104,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Yala,ยะลา,TH950106,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Tha Sap,ท่าสาป,TH950108,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Lam Mai,ลำใหม่,TH950109,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Na Tham,หน้าถ้ำ,TH950110,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Lam Phaya,ลำพะยา,TH950111,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Po Seng,เปาะเส้ง,TH950112,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Phron,พร่อน,TH950114,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Bannang Sareng,บันนังสาเรง,TH950115,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Sateng Nok,สะเตงนอก,TH950116,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Tase,ตาเซะ,TH950118,Mueang Yala,เมืองยะลา,TH9501,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Betong,เบตง,TH950201,Betong,เบตง,TH9502,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Yarom,ยะรม,TH950202,Betong,เบตง,TH9502,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Tano Maero,ตาเนาะแมเราะ,TH950203,Betong,เบตง,TH9502,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Aiyoe Weng,อัยเยอร์เวง,TH950204,Betong,เบตง,TH9502,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Than Nam Thip,ธารน้ำทิพย์,TH950205,Betong,เบตง,TH9502,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Bannang Sata,บันนังสตา,TH950301,Bannang Sata,บันนังสตา,TH9503,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Bacho,บาเจาะ,TH950302,Bannang Sata,บันนังสตา,TH9503,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Tano Pute,ตาเนาะปูเต๊ะ,TH950303,Bannang Sata,บันนังสตา,TH9503,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Tham Thalu,ถ้ำทะลุ,TH950304,Bannang Sata,บันนังสตา,TH9503,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Taling Chan,ตลิ่งชัน,TH950305,Bannang Sata,บันนังสตา,TH9503,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Khuean Bang Lang,เขื่อนบางลาง,TH950306,Bannang Sata,บันนังสตา,TH9503,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Than To,ธารโต,TH950401,Than To,ธารโต,TH9504,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Ban Rae,บ้านแหร,TH950402,Than To,ธารโต,TH9504,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Mae Wat,แม่หวาด,TH950403,Than To,ธารโต,TH9504,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Khiri Khet,คีรีเขต,TH950404,Than To,ธารโต,TH9504,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Yaha,ยะหา,TH950501,Yaha,ยะหา,TH9505,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
La-Ae,ละแอ,TH950502,Yaha,ยะหา,TH9505,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Patae,ปะแต,TH950503,Yaha,ยะหา,TH9505,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Baro,บาโร๊ะ,TH950504,Yaha,ยะหา,TH9505,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Ta Chi,ตาชี,TH950506,Yaha,ยะหา,TH9505,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Ba-Ngoi Sinae,บาโงยซิแน,TH950507,Yaha,ยะหา,TH9505,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Katong,กาตอง,TH950508,Yaha,ยะหา,TH9505,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Kayu Boko,กายูบอเกาะ,TH950601,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Kalupang,กาลูปัง,TH950602,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Kalo,กาลอ,TH950603,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Koto Tuera,กอตอตือร๊ะ,TH950604,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Kota Baru,โกตาบารู,TH950605,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Ke Ro,เกะรอ,TH950606,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Cha Kwua,จะกว๊ะ,TH950607,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Tha Thong,ท่าธง,TH950608,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Noen Ngam,เนินงาม,TH950609,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Balo,บาลอ,TH950610,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Ba-Ngoi,บาโงย,TH950611,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Buemang,บือมัง,TH950612,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Yata,ยะต๊ะ,TH950613,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Wang Phaya,วังพญา,TH950614,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
A Song,อาซ่อง,TH950615,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Talo Halo,ตะโล๊ะหะลอ,TH950616,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Kabang,กาบัง,TH950701,Kabang,กาบัง,TH9507,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Bala,บาละ,TH950702,Kabang,กาบัง,TH9507,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Krong Pinang,กรงปินัง,TH950801,Krong Pinang,กรงปินัง,TH9508,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Sa-Ae,สะเอะ,TH950802,Krong Pinang,กรงปินัง,TH9508,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Huai Krathing,ห้วยกระทิง,TH950803,Krong Pinang,กรงปินัง,TH9508,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
Pu Rong,ปุโรง,TH950804,Krong Pinang,กรงปินัง,TH9508,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH
